station id, station name, valid,oblačnost [%]
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-18,40
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-19,10
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-20,20
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-21,70
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-22,57
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-23,90
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-24,60
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-25,67
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-26,57
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-27,53
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-28,100
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-29,97
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-30,87
_3049,Letališče Jožeta Pučnika Ljubljana,2022-05-31,53
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-01,37
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-02,53
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-03,83
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-04,37
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-05,47
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-06,43
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-07,87
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-08,63
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-09,93
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-10,60
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-11,30
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-12,10
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-13,27
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-14,30
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-15,50
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-16,50
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-17,53
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-18,23
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-19,13
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-20,23
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-21,50
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-22,73
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-23,73
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-24,63
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-25,40
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-26,10
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-27,7
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-28,20
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-29,67
_3049,Letališče Jožeta Pučnika Ljubljana,2022-06-30,33
_3049,Letališče Jožeta Pučnika Ljubljana,2022-07-01,33
