station id, station name, valid,T [°C],količina padavin [mm],globalno sev. [W/m2]
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 17:20,21.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 17:30,21.4,4.6,13
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 17:40,21,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 17:50,21,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 18:00,19.9,5.2,6
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 18:10,19.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 18:20,19.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 18:30,20.1,0.6,2
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 18:40,20,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 18:50,20.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 19:00,20.8,0,2
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 19:10,20.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 19:20,20.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 19:30,19.8,0,2
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 19:40,19.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 19:50,19.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 20:00,19.2,0.3,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 20:10,19.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 20:20,19.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 20:30,19.7,0.7,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 20:40,19.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 20:50,19.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 21:00,19.7,0.4,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 21:10,19.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 21:20,19.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 21:30,19.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 21:40,19.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 21:50,19.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 22:00,19.3,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 22:10,19.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 22:20,19.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 22:30,19.2,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 22:40,19.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 22:50,18.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 23:00,18.9,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 23:10,19,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 23:20,19,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 23:30,19.1,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 23:40,19,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-01 23:50,18.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 00:00,18.9,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 00:10,19,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 00:20,18.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 00:30,18.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 00:40,18.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 00:50,18.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 01:00,18.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 01:10,18.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 01:20,18.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 01:30,18,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 01:40,17.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 01:50,17.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 02:00,17.9,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 02:10,17.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 02:20,17.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 02:30,17.6,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 02:40,17.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 02:50,17.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 03:00,17.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 03:10,17.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 03:20,17.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 03:30,17.3,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 03:40,17.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 03:50,17.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 04:00,17.1,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 04:10,16.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 04:20,16.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 04:30,16.8,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 04:40,16.6,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 04:50,16.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 05:00,16.8,0,2
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 05:10,16.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 05:20,16.9,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 05:30,17.1,0,16
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 05:40,17.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 05:50,17.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 06:00,17.3,0,65
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 06:10,17.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 06:20,17.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 06:30,17.4,0,61
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 06:40,17.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 06:50,17.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 07:00,17.5,0,58
_3047,Letališče Jožeta Pučnika Ljubljana,2024-08-02 07:10,17.7,,
