station id, station name, valid,T [°C],količina padavin [mm],globalno sev. [W/m2]
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 04:00,11.2,0,0
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 04:10,11.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 04:20,11.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 04:30,10.9,0,5
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 04:40,10.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 04:50,10.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 05:00,11,0,27
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 05:10,11.3,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 05:20,11.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 05:30,12.1,0,78
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 05:40,13,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 05:50,13.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 06:00,14.2,0,152
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 06:10,14.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 06:20,15.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 06:30,15.5,0,231
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 06:40,16.1,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 06:50,16.4,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 07:00,16.9,0,312
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 07:10,17.2,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 07:20,17.7,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 07:30,18.2,0,390
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 07:40,19.5,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 07:50,19.8,,
_3047,Letališče Jožeta Pučnika Ljubljana,2022-06-02 08:00,20.7,0,474
